Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame,x_pos,y_pos
187257108071254016,11.848486,12.245135,11.266795,1014.7445,7467.1787,3.926,35.264076,2.173,0.825,817.5147149958709,-601.1456487786216
145403923080811648,14.633718,15.208487,13.898592,1425.6429999999998,5570.7783,2.4297,6.256400599999999,1.393,3.382,571.5020033382334,-1306.0794093887957
505098741115777152,14.46535,14.780166,13.978725,3951.1526,7283.5337,3.9463,16.194329999999997,1.838,1.061,-2918.953336182276,2662.9529266731547
2011262957712439040,15.051352,15.82286,14.176559,6578.2876,7108.7197,11.0498,89.905235,2.7230000000000003,0.423,121.67671954415097,-6577.162193851899
420332235766486528,12.448422,12.697946,12.052574,1161.9845,6961.1377,2.6731,20.356634,1.921,1.063,-235.89287390464108,-1137.7884382789532
202332954377799808,15.417415,16.612913,14.332372,260.6541,3677.042,0.7775,0.09384848,0.623,10.773,83.64113303035741,246.86984569243785
136216433980939136,12.445094,12.806429,11.913118,818.807,7047.6084,2.2623,14.021278,1.76,1.317,259.58122702875755,-776.5709818318251
3050236196821206912,14.931442,15.90753,13.957993,220.5464,4060.0063,0.6205,0.09523805,0.631,9.753,48.386408514928625,-215.17311640627054
205434779760944128,15.986256,16.379496,15.371154999999998,3464.1262,10430.264,1.7674,37.84743,2.411,,93.91783080088157,-3462.852836980529
28792296816925568,14.579728,15.081422,13.913256,1031.06,5341.4097,1.581,3.1007042,1.119,7.442,703.4174995146814,753.8491526668404
24070272332815232,14.205945000000002,14.643563,13.605615,512.04,5094.1675,0.865,0.4495355,0.8759999999999999,3.798,-432.8231340338359,273.58562872550175
8501939302281344,13.836436,14.266274,13.232582,691.3627,5758.7065,1.2969,1.6434444,0.979,10.707,-87.98981438945519,-685.7406036651171
63603105535307136,14.433547,14.881963,13.814763,1055.6194,5565.6523,1.5779,2.3062015,1.011,10.591,-852.4930213049768,-622.5656321085131
2162464665734228480,14.940974,16.684328,13.661319,3117.6653,4567.484,22.7077,306.1448,3.705,0.216,-1564.7910026411432,2696.528516607495
49924841584830208,15.139972,16.028295999999997,14.213816,312.6571,4409.927,0.6894,0.14716458,0.708,2.105,-212.97482777444245,228.902129555093
112456335599126528,10.058367,10.756551,9.247962,470.8037,4880.6377,8.3155,35.305042,2.503,0.62,320.41807487230886,344.94692523461265
140235703032804224,14.636615,14.977488,14.12444,1432.458,5801.5444,1.5749,1.5471547,1.005,8.619,-277.10535881865405,-1405.3997800903433
4657592449990100224,13.584056,13.47465,13.694145,13035.382,29456.139,3.9069,,,,-44.87726233278923,13035.304749688421
